"source","target","sectionlength"
"FR0000011426","FR9900001953","14.857"
"FR0000009545","FR0000006424","2.261"
"FR0000001402","FR9900001739","10.44"
"FR0000004021","FR0000007741","1.224"
"FR0000001295","FR0000004021","1.294"
"FR0000000444","FR0000003966","0.455"
"FR0000015870","FR0000011273","0.322"
"FR0000003966","FR9900002119","0.055"
"FR0000000407","FR0000001402","1.743"
"FR0000009938","FR0000001060","9.804"
"FR0000005330","FR0000009938","0.279"
"FR9900001739","FR0000005330","0.059"
"FR9900002119","FR0000000407","0.199"
"FR0000002980","FR0000008002","4.018"
"FR0000006169","FR0000011075","0.0"
"FR0000006169","FR0000004200","0.177"
"FR0000005436","FR0000007588","0.49"
"FR0000003613","FR0000002786","4.415"
"FR0000000758","FR0000003609","10.222"
"FR9900004189","FR9900004647","0.841"
"FR0000008267","FR0000006153","5.682"
"FR0000008626","FR0000000758","0.305"
"FR0000002583","FR0000008626","0.297"
"FR0000004592","FR0000002417","3.443"
"FR0000008657","FR0000004291","1.311"
"FR0000003566","FR0000008075","11.906"
"FR0000008655","FR0000008657","10.16"
"FR0000000014","FR0000008384","4.687"
"FR0000002417","FR0000003340","6.487"
"FR0000009212","FR0000003772","1.235"
"FR0000000409","FR0000007282","0.091"
"FR0000012596","FR0000003671","0.146"
"FR0000007479","FR0000005590","0.601"
"FR0000005590","FR0000012596","0.215"
"FR9900001520","FR0000000409","8.873"
"FR0000006153","FR0000006068","0.028"
"FR0000006068","FR0000009212","0.032"
"FR0000003609","FR9900001520","4.661"
"FR0000003772","FR0000008655","1.93"
"FR0000008075","FR0000002583","0.499"
"FR0000016378","FR0000016380","0.361"
"FR0000005524","FR0000012435","0.132"
"FR9900001234","FR0000000365","0.271"
"FR0000001906","FR0000002303","0.796"
"FR0000006675","FR0000011777","0.803"
"FR0000000365","FR0000003613","5.209"
"FR0000012435","FR9900004645","0.66"
"FR0000011777","FR9900001104","0.3"
"FR0000009548","FR0000015650","0.596"
"FR0000002303","FR0000005436","0.398"
"FR0000007588","FR0000006675","13.667"
"FR0000015650","FR0000001476","4.252"
"FR0000007158","FR0000012435","0.0"
"FR0000008384","FR9900001234","0.082"
"FR9900003665","FR0000001906","0.085"
"FR9900004645","FR0000016378","4.28"
"FR0000016380","FR9900004189","1.565"
"FR0000004291","FR0000000718","1.794"
"FR0000002204","FR0000005524","0.462"
"FR0000001806","FR0000002204","0.622"
"FR0000002786","FR0000004592","4.054"
"FR0000007282","FR0000012596","0.0"
"FR0000007282","FR0000007479","0.062"
"FR0000003340","FR0000003566","6.54"
"FR0000000718","FR0000001806","0.724"
"FR0000002712","FR0000007411","6.481"
"FR0000003131","FR0000001514","1.988"
"FR0000001308","FR0000007264","13.763"
"FR0000001608","FR0000003470","0.221"
"FR0000003470","FR0000001308","0.51"
"FR0000007264","FR0000012570","0.0"
"FR0000007264","FR0000004446","0.214"
"FR0000002906","FR0000009011","0.534"
"FR0000007257","FR0000012561","0.0"
"FR0000005919","FR0000010752","0.265"
"FR0000001521","FR0000002906","0.267"
"FR0000007411","FR0000003035","0.155"
"FR0000007411","FR0000012771","0.0"
"FR0000003035","FR0000012771","0.322"
"FR0000004114","FR0000004584","2.619"
"FR0000012771","FR0000007179","0.002"
"FR0000002028","FR0000001521","0.133"
"FR0000007179","FR0000003850","7.642"
"FR9900003499","FR0000002712","11.344"
"FR0000004219","FR0000004101","8.062"
"FR0000003616","FR0000004114","3.341"
"FR0000010752","FR0000012570","0.064"
"FR0000002141","FR0000003616","4.668"
"FR0000012570","FR9900003499","0.877"
"FR0000004584","FR0000003773","4.896"
"FR0000003773","FR9900002144","0.659"
"FR0000000576","FR0000001608","9.052"
"FR0000010297","FR0000000576","0.088"
"FR0000004101","FR0000002028","8.318"
"FR0000003850","FR0000004219","12.978"
"FR0000004446","FR0000005919","0.077"
"FR0000003560","FR0000003131","5.818"
"FR0000000938","FR0000003560","3.648"
"FR0000012561","FR0000001210","3.236"
"FR0000009011","FR0000012561","0.082"
"FR0000003671","FR0000010297","0.27"
"FR9900002144","FR0000000938","0.196"
"FR0000001210","FR0000003258","0.001"
"FR0000003258","FR0000002141","6.138"
"FR0000001119","FR0000012328","0.305"
"FR0000012328","FR0000001308","0.11"
"FR0000007078","FR0000012328","0.0"
"FR0000001740","FR0000005369","2.705"
"FR0000005369","FR0000016054","0.24"
"FR0000001149","FR0000000047","1.18"
"FR0000001825","FR0000000173","1.52"
"FR0000006505","FR0000000004","1.88"
"FR0000000578","FR9900003767","1.881"
"FR0000008623","FR0000006505","0.199"
"FR0000007790","FR0000008623","1.96"
"FR0000007371","FR0000007790","1.335"
"FR0000009719","FR0000007371","0.626"
"FR0000009193","FR9900001544","0.34"
"FR9900001544","FR0000008261","2.68"
"FR0000008261","FR0000001181","4.401"
"FR0000009720","FR0000009193","0.02"
"FR0000001510","FR0000016409","0.076"
"FR0000002000","FR0000001691","1.724"
"FR0000016409","FR0000001037","0.517"
"FR0000001037","FR0000002000","0.82"
"FR0000001691","FR9900004650","0.629"
"FR0000001037","FR0000001381","0.541"
"FR0000002803","FR0000004943","7.84"
"FR0000008251","FR0000002803","3.145"
"FRZZZ0000045","FR0000008559","0.0"
"FR0000006471","FR0000011493","0.0"
"FR0000006471","FR9900002078","2.557"
"FRZZZ0000041","FR0000014041","0.0"
"FR0000000934","FR9900004543","7.848"
"FR0000004497","FR0000002327","3.971"
"FR0000012028","FR0000000934","0.031"
"FR0000004963","FR0000006853","9.496"
"FR0000011808","FR0000001364","0.05"
"FR0000007951","FR0000004963","0.353"
"FR0000006853","FR0000012028","0.0"
"FR0000006853","FR0000002828","0.87"
"FR0000001364","FR0000009343","0.051"
"FR0000004943","FR0000008270","0.76"
"FR0000011493","FR0000004497","0.847"
"FR0000009343","FR0000006471","1.722"
"FR0000006697","FR0000011808","0.495"
"FR0000008270","FR0000007951","4.498"
"FR0000002828","FR0000012028","0.229"
"FR9900002078","FR0000011493","0.082"
"FR0000006642","FR0000011725","1.471"
"FR0000003049","FR0000000693","0.623"
"FR0000008186","FR0000009470","0.1"
"FR9900004347","FR0000008186","0.089"
"FR9900004446","FR9900004347","0.293"
"FR9900004443","FR9900004446","0.055"
"FR9900004443","FR9900004608","0.0"
"FR9900004443","FR9900004447","0.0"
"FR0000000693","FR0000014872","0.009"
"FR9900004349","FR9900004443","1.317"
"FR9900004442","FR9900004347","0.0"
"FR9900004442","FR9900004349","0.04"
"FR0000014872","FR0000001312","16.423"
"FR9900004543","FR0000006642","1.58"
"FR0000001014","FR0000004859","0.281"
"FR0000009470","FR9900003723","0.0"
"FR0000009470","FR9900004447","0.715"
"FR0000004140","FR0000001014","2.774"
"FR9900004629","FR9900004608","0.025"
"FR0000008958","FR0000003049","0.442"
"FR0000008958","FR0000014872","0.0"
"FR0000001896","FR0000008337","4.588"
"FR0000006259","FR0000001896","0.035"
"FR0000004398","FR0000006259","0.013"
"FR0000010952","FR0000004398","0.322"
"FR9900003968","FR0000006075","0.01"
"FR0000001324","FR9900003968","0.028"
"FR9900003723","FR0000001324","0.266"
"FR0000016409","FR9900003723","0.036"
"FR9900004608","FR9900004628","0.022"
"FR9900004628","FR0000016409","1.028"
"FR0000004859","FR0000008967","0.243"
"FR9900004447","FR9900004629","0.005"
"FR9900001494","FR0000004140","5.063"
"FR0000009068","FR9900001494","0.207"
"FR0000004550","FR0000002240","8.297"
"FR0000002240","FR0000022955","11.664"
"FR0000000902","FR0000004211","1.426"
"FR0000016443","FR0000000902","5.405"
"FR0000022955","FR0000005217","0.407"
"FR0000002601","FR0000016443","5.57"
"FR0000003942","FR0000002332","5.728"
"FR0000005217","FR0000002742","9.216"
"FR0000005021","FR0000003731","5.024"
"FR0000005074","FR0000002601","6.714"
"FR0000002742","FR0000002778","5.691"
"FR0000002332","FR0000005074","3.69"
"FR0000004211","FR0000009384","0.221"
"FR0000009384","FR0000009657","0.134"
"FR0000009384","FR0000015435","0.0"
"FR0000009657","FR0000006582","0.27"
"FR0000006582","FR0000006231","0.31"
"FR0000011179","FR0000009068","4.713"
"FR0000013759","FR0000011179","0.15"
"FR0000003731","FR9900004442","4.716"
"FR0000006246","FR0000011179","0.0"
"FR0000006246","FR0000013759","0.948"
"FR0000015435","FR0000006246","0.074"
"FR0000004537","FR0000008958","4.408"
"FR0000001312","FR0000009455","0.141"
"FR0000009455","FR0000006485","0.027"
"FR0000006485","FR0000003476","0.178"
"FR0000006485","FR0000011515","0.0"
"FR0000003476","FR0000011515","0.752"
"FR0000011515","FR0000003942","14.564"
"FR0000006231","FR0000008126","0.227"
"FR0000008126","FR0000013759","0.0"
"FR0000008126","FR0000015435","0.123"
"FR0000008337","FR0000004845","0.115"
"FR0000008337","FR0000014041","0.0"
"FR0000006075","FR0000010952","0.42"
"FR0000009087","FR0000015042","1.07"
"FR0000000280","FR0000001261","0.141"
"FR0000016543","FR0000002482","0.143"
"FR0000002482","FR0000008559","0.545"
"FR0000008559","FR0000008576","0.117"
"FR0000008576","FR0000005118","0.316"
"FR0000006998","FR0000016543","0.339"
"FR0000001260","FR0000006743","0.043"
"FR0000006743","FR0000007796","0.037"
"FR0000007796","FR0000000280","1.137"
"FR0000002327","FR0000002997","6.961"
"FR0000004286","FR0000008251","2.224"
"FR0000004845","FR0000009087","0.167"
"FR0000002935","FR0000004550","4.13"
"FR0000005002","FR0000006998","0.81"
"FR0000013976","FR0000008182","0.003"
"FR0000004040","FR0000006269","0.38"
"FR0000011725","FR0000004995","0.164"
"FR0000004995","FR0000005625","0.921"
"FR0000005625","FR0000007348","2.564"
"FR0000008182","FRZZZ0000044","0.0"
"FR0000008182","FR0000005002","3.055"
"FR0000007348","FRZZZ0000043","0.0"
"FR0000007348","FR0000016557","0.0"
"FR0000007348","FR0000008290","3.328"
"FR0000008290","FR0000013976","0.0"
"FR0000008290","FR0000001441","0.207"
"FR0000001441","FR0000005906","0.288"
"FR0000006269","FR0000001260","0.073"
"FR0000005906","FR0000004112","0.309"
"FR0000004112","FR0000013976","0.26"
"FR0000001261","FR0000006697","1.544"
"FR0000002997","FR0000007867","3.958"
"FR0000002778","FR0000005021","3.719"
"FR0000015042","FR0000014041","0.047"
"FR0000008967","FR0000002935","14.049"
"FR0000004842","FR0000004537","7.861"
"FR0000003354","FR0000004842","8.756"
"FR0000007867","FR0000003354","0.464"
"FR0000014041","FRZZZ0000042","0.0"
"FR0000014041","FR0000004286","3.884"
"FR0000002893","FR0000004205","3.527"
"FR0000004205","FR0000008707","2.091"
"FR0000008707","FR0000004662","0.443"
"FR0000009337","FR0000004870","11.172"
"FR0000004662","FR0000016259","0.036"
"FR0000002509","FR0000004944","2.007"
"FR0000005118","FR0000009337","0.893"
"FR0000004870","FR0000002509","2.234"
"FR0000001871","FR0000002893","3.294"
"FR0000004944","FR0000001871","0.114"
"FR9900002100","FR0000001945","0.602"
"FR0000001324","FR9900002100","0.681"
"FR0000016442","FR0000016456","11.52"
"FR0000008844","FR0000001324","0.024"
"FR0000008936","FR9900004035","0.0"
"FR0000016107","FR0000008844","0.636"
"FR0000016410","FR0000016431","9.97"
"FR0000002729","FR0000004166","2.04"
"FR9900001398","FR0000010669","0.51"
"FR0000005855","FR9900001398","0.015"
"FR0000005855","FR0000010669","0.0"
"FR0000016459","FR0000004371","1.561"
"FR9900002172","FR0000003749","2.243"
"FR0000016456","FR0000016410","13.02"
"FR0000000797","FR0000002729","1.9"
"FR0000001945","FR0000005855","0.191"
"FR0000010669","FR0000000797","0.167"
"FR9900004035","FR0000000514","0.248"
"FR0000004166","FR9900002172","0.567"
"FR0000003749","FR0000016459","1.489"
"FR0000004371","FR0000016442","4.07"
"FR0000016431","FR9900004035","11.498"
"FR0000000514","FR0000002239","0.601"
"FR0000004398","FR0000016107","0.0"
"FR0000008206","FR0000004542","4.985"
"FR0000008206","FR0000013858","0.0"
"FR0000006232","FR0000004442","6.948"
"FR0000001302","FR0000008032","0.007"
"FR0000004542","FR0000006232","7.819"
"FR0000008032","FR0000008724","0.311"
"FR0000008032","FR0000013640","0.0"
"FR0000008724","FR0000004353","0.598"
"FR0000004353","FR0000013640","0.352"
"FR0000013858","FR0000004859","0.237"
"FR0000013640","FR0000000400","0.539"
"FR0000004859","FR0000008206","0.646"
"FR0000001014","FR0000013858","0.044"
"FR0000009419","FR9900001110","0.084"
"FR0000007028","FR0000001302","10.157"
"FR0000004442","FR0000007028","11.017"
"FR0000000400","FR0000009419","0.771"
"FR0000000400","FR0000009180","0.281"
"FR0000001777","FR0000016194","0.309"
"FR0000006466","FR0000001777","0.116"
"FR0000006965","FR0000007900","0.09"
"FR0000009180","FR0000006965","0.055"
"FR0000007900","FR0000006466","0.245"
"FR0000001777","FR0000005974","0.934"
"FR0000010907","FR9900001113","0.774"
"FR0000006041","FR0000010907","0.638"
"FR0000000009","FR0000009577","13.375"
"FR0000009722","FR9900001639","2.589"
"FR9900001867","FR9900001868","6.221"
"FR0000009577","FR9900001867","0.132"
"FR9900001639","FR9900003768","1.061"
"FR9900001868","FR0000006041","0.11"
"FR9900003525","FR0000014572","0.0"
"FR9900003525","FR0000003812","0.148"
"FR0000014572","FR0000003547","16.448"
"FR9900004651","FR9900003525","0.043"
"FR0000003812","FR0000014572","0.101"
"FR0000003547","FR0000002977","7.113"
"FR0000008628","FR0000003514","8.476"
"FR0000014944","FR0000013234","0.016"
"FR0000006596","FR0000009012","3.707"
"FR0000008807","FR0000014656","0.264"
"FR0000003514","FR0000003242","7.215"
"FR0000014656","FR0000004957","0.044"
"FR0000013234","FR0000002799","14.516"
"FR0000004957","FR0000008561","0.713"
"FR0000002977","FR0000008628","0.407"
"FR0000009012","FR0000014944","0.0"
"FR0000009012","FR0000005045","0.122"
"FR0000005045","FR0000007752","0.032"
"FR0000007752","FR0000014944","0.264"
"FR0000007752","FR0000013234","0.0"
"FR0000008561","FR0000009261","17.071"
"FR0000002799","FR0000005274","8.483"
"FR0000001704","FR0000008663","8.045"
"FR0000004030","FR0000011361","0.169"
"FR0000011361","FR9900001954","16.797"
"FR0000007765","FR0000006406","0.0"
"FR0000007765","FR0000000444","0.614"
"FR0000000407","FR0000007765","0.095"
"FR0000006378","FR0000004030","0.774"
"FR0000006378","FR0000011361","0.0"
"FR0000007409","FR0000004695","3.037"
"FR0000002351","FR0000007409","1.379"
"FR0000002343","FR0000002351","4.158"
"FR9900001954","FR0000006278","0.105"
"FR0000006278","FR0000006044","8.307"
"FR0000004695","FR0000005315","12.507"
"FR0000008663","FR9900001029","0.82"
"FR0000005315","FR0000003821","0.032"
"FR0000000444","FR0000005679","0.21"
"FR0000000147","FR9900001869","0.328"
"FR0000006044","FR0000001402","2.575"
"FR0000000883","FR0000000147","7.998"
"FR0000009261","FR0000000448","0.97"
"FR9900003496","FR0000002343","12.134"
"FR0000003821","FR0000006596","19.081"
"FR0000014397","FR0000014398","1.287"
"FR0000006210","FR0000014397","0.27"
"FR0000005274","FR0000006378","5.371"
"FR0000008605","FR0000014397","0.0"
"FR0000008605","FR0000014398","0.0"
"FR0000005679","FR0000006210","0.206"
"FR0000014398","FR0000000883","14.563"
"FR9900001869","FR0000001704","0.414"
"FR0000006972","FR0000000086","0.275"
"FR0000002094","FR0000002218","0.248"
"FR0000005573","FR0000010272","0.399"
"FR0000005121","FR0000005573","0.21"
"FR0000003242","FR0000007961","0.808"
"FR0000016097","FR0000005121","0.104"
"FR0000002218","FR0000006972","0.287"
"FR0000002570","FR0000008807","10.46"
"FR0000010272","FR0000002570","5.401"
"FR0000007961","FR0000002094","3.414"
"FR0000001520","FR0000000086","0.591"
"FR0000003821","FR9900003769","0.744"
"FR0000001731","FR0000001302","6.94"
"FR0000003965","FR0000004160","7.288"
"FR0000001684","FR0000002289","3.804"
"FR0000002289","FR0000003965","5.67"
"FR0000004160","FR0000001731","14.089"
"FR0000016457","FR0000002766","3.911"
"FR0000001381","FR0000003622","1.238"
"FR9900001863","FR9900002059","3.908"
"FR0000001510","FR0000001381","0.853"
"FR0000005582","FR0000010285","0.0"
"FR0000005582","FR0000004738","0.261"
"FR0000000320","FR9900003542","17.576"
"FR0000001684","FR0000006042","11.906"
"FR0000008073","FR0000005582","0.134"
"FR0000008073","FR0000013693","0.0"
"FR0000000844","FR0000008073","0.113"
"FR0000013099","FR0000001684","0.064"
"FR0000004349","FR0000013099","0.174"
"FR0000007654","FR0000013099","0.0"
"FR0000007654","FR0000004349","0.556"
"FR0000002336","FR0000000409","8.697"
"FR0000005052","FR0000000326","3.663"
"FR0000002766","FR0000001886","11.251"
"FR9900003250","FR0000003314","1.685"
"FR0000003314","FR0000016457","2.397"
"FR0000001456","FR9900003250","0.373"
"FR0000007945","FR0000001456","0.267"
"FR0000008886","FR0000009312","0.269"
"FR0000005117","FR0000002336","6.937"
"FR0000010285","FR0000013693","0.498"
"FR0000008511","FR0000007945","0.357"
"FR0000009312","FR0000009525","0.312"
"FR0000004431","FR0000008886","0.971"
"FR0000013693","FR0000008511","0.067"
"FR0000008232","FR0000005117","0.417"
"FR0000002458","FR0000002956","7.318"
"FR0000002078","FR0000003350","0.001"
"FR9900004305","FR0000000844","0.342"
"FR0000003350","FR0000000320","24.533"
"FR9900003553","FR0000002078","0.328"
"FR9900002059","FR9900004305","2.075"
"FR0000009525","FR0000002458","0.069"
"FR0000004738","FR0000010285","0.364"
"FR0000003622","FR0000004431","2.15"
"FR0000004641","FR0000005896","0.115"
"FR0000000448","FR9900000057","0.029"
"FR0000005544","FR0000004591","0.163"
"FR0000001886","FR0000016447","0.25"
"FR0000004644","FR0000004641","9.629"
"FR0000010721","FR0000005100","14.103"
"FR0000007472","FR0000010721","0.201"
"FR0000005896","FR0000010721","0.0"
"FR0000005896","FR0000007472","0.136"
"FR0000005100","FR9900003496","12.087"
"FR0000002756","FR0000004727","5.866"
"FR0000001160","FR0000008222","0.304"
"FR9900000057","FR9900002094","0.132"
"FR0000006042","FR0000004644","0.399"
"FR0000004591","FR0000000448","0.44"
"FR0000016447","FR0000003981","7.824"
"FR0000005125","FR0000008232","9.832"
"FR0000010094","FR0000005052","5.512"
"FR0000005443","FR0000010094","0.76"
"FR0000002956","FR0000002756","4.022"
"FR0000003981","FR0000005443","0.125"
"FR9900003542","FR0000001306","0.358"
"FR0000001306","FR9900001863","16.709"
"FR9900003496","FR0000001160","0.02"
"FR9900002094","FR9900003553","36.058"
"FR0000004398","FR0000001510","1.059"
"FR0000000326","FR0000005125","7.106"
"FR0000008222","FR0000000448","0.0"
"FR0000008222","FR0000005544","0.402"
"FR0000008222","FR9900000057","0.0"
"FR0000004727","FR0000007654","1.613"
"FR0000013076","FR0000001658","9.219"
"FR0000002213","FR0000007998","0.265"
"FR0000002600","FR0000007844","6.081"
"FR0000003837","FR0000002600","5.605"
"FR0000001438","FR0000009078","0.051"
"FR0000001359","FR0000003837","8.594"
"FR0000007998","FR0000001359","3.981"
"FR0000007844","FR0000004807","0.125"
"FR0000007844","FR0000013379","0.0"
"FR0000009078","FR0000002213","0.179"
"FR0000004807","FR0000013379","0.398"
"FR0000013379","FR0000016421","0.07"
"FR0000007637","FR0000013076","0.0"
"FR0000007637","FR0000004672","0.21"
"FR0000016421","FR0000002251","13.164"
"FR0000007131","FR0000007637","0.131"
"FR0000002251","FR0000007131","18.692"
"FR0000004672","FR0000013076","0.137"
"FR0000001691","FR0000001438","0.829"
"FR0000001658","FR0000001159","0.795"
"FR0000001438","FR0000007910","2.736"
"FR0000008640","FR0000014438","0.027"
"FR0000001159","FR0000002481","8.721"
"FR0000014438","FR0000004233","0.307"
"FR0000002481","FR0000008640","2.35"
"FR0000003754","FR0000002355","3.459"
"FR0000002355","FR0000003682","7.744"
"FR0000003864","FR0000003754","3.984"
"FR0000016421","FR0000004807","0.002"
"FR0000004807","FR0000004006","3.749"
"FR0000003682","FR9900004632","0.012"
"FR0000000439","FR0000003864","10.026"
"FR0000004006","FR0000000439","0.282"
"FR9900001374","FR0000007918","7.177"
"FR0000012788","FR0000006792","0.294"
"FR0000006792","FR0000000014","0.007"
"FR0000006272","FR9900001374","0.372"
"FR0000016433","FR0000016427","6.465"
"FR0000002214","FR0000006526","3.248"
"FR0000005661","FR0000006272","2.064"
"FR0000000014","FR0000005374","0.057"
"FR0000005374","FR0000001128","0.924"
"FR0000001128","FR0000002214","16.634"
"FR9900001263","FR0000006218","0.203"
"FR0000001141","FR0000001633","3.016"
"FR0000000311","FR0000001141","0.101"
"FR0000001633","FR0000008102","0.046"
"FR0000006218","FR0000011141","0.288"
"FR9900002077","FR0000000311","6.367"
"FR0000001414","FR9900002077","1.918"
"FR0000011141","FR0000001456","2.711"
"FR0000016427","FR9900001263","6.905"
"FR0000007425","FR0000012788","0.234"
"FR0000008102","FR0000005661","0.615"
"FR0000004765","FR0000007215","11.799"
"FR0000002363","FR0000007162","6.783"
"FR0000012508","FR0000016433","14.813"
"FR0000004779","FR0000012508","0.317"
"FR0000007918","FR0000002842","0.184"
"FR0000007918","FR0000013483","0.0"
"FR0000002842","FR0000013483","0.586"
"FR0000007215","FR0000012508","0.0"
"FR0000007215","FR0000004779","0.345"
"FR0000013483","FR0000007492","0.313"
"FR0000009375","FR0000002689","0.524"
"FR0000007492","FR0000004044","5.203"
"FR0000002689","FR0000007604","2.489"
"FR0000004044","FR0000002363","7.612"
"FR0000001476","FR0000005437","0.244"
"FR0000005437","FR0000003550","0.428"
"FR0000009565","FR0000004170","0.302"
"FR0000009565","FR0000015676","0.0"
"FR0000004170","FR0000015676","0.402"
"FR0000015676","FR0000009375","8.669"
"FR0000003550","FR0000007425","0.109"
"FR0000012441","FR0000009565","7.033"
"FR0000006526","FR0000004765","0.357"
"FR0000007604","FR0000001476","10.739"
"FR0000002764","FR0000012441","0.298"
"FR0000007162","FR0000012441","0.0"
"FR0000007162","FR0000002764","0.131"
"FR0000000311","FR9900003598","1.19"
"FR0000001141","FR9900003643","0.5"
"FR0000001633","FR9900003637","0.647"
"FR0000009141","FR0000001576","0.033"
"FR0000000844","FR0000009141","0.135"
"FRZZY0000015","FRZZZ0000015","0.0"
"FR0000002704","FRZZY0000015","2.016"
"FR0000001576","FR0000002704","1.845"
"FR0000000768","FR0000015919","0.475"
"FR0000000667","FR0000008213","0.498"
"FR0000000576","FR0000005416","4.245"
"FR0000005416","FR0000000667","23.069"
"FR0000000361","FR0000007740","8.248"
"FR0000005003","FR0000000361","0.28"
"FR0000008213","FR0000005003","0.006"
"FR0000004560","FR0000016192","0.081"
"FR0000007740","FR0000004560","0.475"
"FR0000009726","FR9900003585","0.02"
"FR9900003585","FR0000007669","14.52"
"FR0000006986","FR0000008242","0.871"
"FR0000013911","FR0000000667","9.804"
"FR0000008242","FR0000013911","0.245"
"FR0000013121","FR0000006986","0.534"
"FR0000007669","FR0000013121","0.286"
"FR0000002028","FR0000016597","0.032"
"FR0000005520","FR0000010200","0.0"
"FR0000005520","FR0000003707","0.033"
"FR0000003544","FR0000006818","6.094"
"FR0000000598","FR0000010200","0.705"
"FR0000014380","FR0000000807","0.385"
"FR0000007001","FR0000008539","0.006"
"FR0000010200","FR0000000492","0.946"
"FR0000001699","FR0000004694","9.883"
"FR0000004694","FR0000014380","0.803"
"FR0000003648","FR0000007001","0.222"
"FR0000006224","FR0000009549","5.617"
"FR0000008594","FR0000014380","0.0"
"FR0000000492","FR0000008151","13.74"
"FR0000006192","FR0000005233","0.149"
"FR0000006192","FR0000011106","0.0"
"FR0000008539","FR0000006224","1.905"
"FR0000005233","FR0000011106","0.593"
"FR0000011106","FR9900002194","0.141"
"FR9900002194","FR0000006902","0.021"
"FR0000006902","FR0000004305","0.253"
"FR0000004305","FR0000007636","19.875"
"FR9900001858","FR0000003392","6.428"
"FR0000003707","FR0000000598","0.021"
"FR0000000807","FR0000008189","14.093"
"FR0000006772","FR0000005295","3.868"
"FR0000007636","FR0000005520","0.045"
"FR0000012162","FR0000001699","3.926"
"FR0000005966","FR0000008101","0.396"
"FR0000005966","FR0000010815","0.0"
"FR0000007392","FR0000004561","12.225"
"FR0000004924","FR0000007392","0.304"
"FR0000008101","FR0000013726","0.373"
"FR0000005295","FR0000000005","6.22"
"FR0000004561","FR0000003544","13.451"
"FR0000003392","FR0000000523","0.422"
"FR0000011893","FR0000004924","0.253"
"FR0000000523","FR0000008525","0.07"
"FR0000013726","FR0000010815","0.005"
"FR0000008525","FR0000005966","19.166"
"FR0000000005","FR0000006948","0.014"
"FR0000009383","FR0000012162","0.139"
"FR0000003800","FR0000006753","12.847"
"FR0000004838","FR0000009383","0.557"
"FR0000001363","FR0000011893","0.335"
"FR0000006753","FR0000011893","0.0"
"FR0000006753","FR0000007994","0.18"
"FR0000006948","FR0000012162","0.0"
"FR0000006948","FR0000004838","0.298"
"FR0000007994","FR0000001363","0.085"
"FR0000008151","FR9900001858","0.66"
"FR0000002131","FR0000006772","0.176"
"FR0000006818","FR0000002131","0.184"
"FR0000010815","FR0000003800","0.113"
"FR0000003213","FR0000003780","2.119"
"FR0000003072","FR0000003416","4.626"
"FR0000001687","FR0000006797","1.268"
"FR0000002357","FR0000013838","0.551"
"FR0000003416","FR0000006192","4.29"
"FR0000005139","FR0000003072","3.728"
"FR0000005386","FR0000004967","1.135"
"FR0000013838","FR0000008564","6.77"
"FR0000005042","FR0000001498","6.043"
"FR0000009549","FR0000005042","0.425"
"FR9900001960","FR0000003648","6.371"
"FR0000003780","FR0000005386","0.363"
"FR0000002271","FR0000005139","2.062"
"FR0000008564","FR9900001960","0.026"
"FR0000006797","FR0000000544","0.072"
"FR0000004967","FR0000002271","2.352"
"FR0000008189","FR0000002357","0.209"
"FR0000008189","FR0000013838","0.0"
"FR0000001770","FR0000003213","1.858"
"FR0000000544","FR0000001770","0.012"
"FR0000000347","FR0000002110","1.125"
"FR0000001129","FR0000001512","0.672"
"FR0000001512","FR0000000193","0.801"
"FR0000001998","FR0000001129","0.585"
"FR0000013268","FR9900001609","0.146"
"FR0000007774","FR0000013268","0.07"
"FR0000007774","FR0000013266","0.0"
"FR9900001609","FR0000006550","0.943"
"FR0000006550","FR0000016377","0.394"
"FR0000000193","FR0000000347","0.03"
"FR0000013266","FR0000001760","0.076"
"FR0000002110","FR0000007774","0.071"
"FR0000016377","FR0000013266","0.003"
"FR0000001066","FR9900001097","0.891"
"FR0000000489","FR0000001066","0.516"
"FR0000008226","FR0000006104","0.072"
"FR0000008226","FR0000013887","0.0"
"FR0000007911","FR0000008226","1.326"
"FR0000000523","FR0000000261","4.743"
"FR0000007822","FR0000007911","0.804"
"FR0000007534","FR9900001276","0.706"
"FR0000006104","FR0000007775","0.01"
"FR0000013887","FR0000006765","3.676"
"FR0000009576","FR9900001834","0.117"
"FR9900001834","FR0000013887","0.111"
"FR9900001320","FR0000007822","5.555"
"FR0000006765","FR0000007330","0.414"
"FR0000007330","FR0000012668","0.632"
"FR0000001144","FR0000006782","1.099"
"FR0000012668","FR0000000342","0.205"
"FR0000008272","FR0000007534","0.277"
"FR0000007775","FR0000009576","0.1"
"FR0000008727","FR9900001320","0.223"
"FR0000008063","FR0000008727","6.901"
"FR9900001276","FR0000000489","0.008"
"FR9900003513","FR0000016369","0.0"
"FR0000003392","FR0000000523","0.416"
"FR0000016369","FR0000003392","0.247"
"FR0000000261","FR0000005318","1.335"
"FR0000005318","FR9900001859","0.004"
"FR9900001859","FR0000006884","8.538"
"FR0000006782","FR0000000645","0.047"
"FR0000006613","FR9900001860","0.501"
"FR0000006884","FR0000006613","0.224"
"FR9900001860","FR0000007475","5.838"
"FR0000006903","FR9900001861","0.29"
"FR0000000611","FR0000007923","0.11"
"FR0000007923","FR9900001640","0.051"
"FR9900001861","FR0000012857","0.008"
"FR0000012857","FR0000000611","4.335"
"FR0000008422","FR0000008063","1.179"
"FR0000000489","FR0000016369","18.998"
